Bd_Ch_EVBat_sp_out,Bd_DisCh_EVBat,Bd_E_HW,Bd_Fl_HP,Bd_FracCh_Bat,Bd_FracCh_EVBat,Bd_Frac_Vent_sp_out,Bd_Pw_Bat_sp_out,Bd_T_HP_return,Bd_T_HP_sp_out,Bd_T_HP_supply,Ext_Irr,Ext_P,Ext_RH,Ext_T,Fa_ECh_Bat,Fa_ECh_EVBat,Fa_EDCh_Bat,Fa_EDCh_EVBat,Fa_E_All,Fa_E_Appl,Fa_E_HVAC,Fa_E_Light,Fa_E_self,Fa_Pw_All,Fa_Pw_Prod,Fa_Stat_EV,HVAC_Pw_HP,HVAC_onoff_HP,P1_FlFrac_HW,P1_T_Tank,P1_T_Tank_sp_out,P1_T_Thermostat_sp_out,P2_FlFrac_HW,P2_T_Tank,P2_T_Tank_sp_out,P2_T_Thermostat_sp_out,P3_FlFrac_HW,P3_T_Tank,P3_T_Tank_sp_out,P3_T_Thermostat_sp_out,P4_FlFrac_HW,P4_T_Tank,P4_T_Tank_sp_out,P4_T_Thermostat_sp_out,Z01_E_Appl,Z01_RH,Z01_T,Z02_E_Appl,Z02_RH,Z02_T,Z03_E_Appl,Z03_RH,Z03_T,Z04_E_Appl,Z04_RH,Z04_T,Z05_E_Appl,Z05_RH,Z05_T,Z06_E_Appl,Z06_RH,Z06_T,Z07_E_Appl,Z07_RH,Z07_T,Z08_E_Appl,Z08_RH,Z08_T,time,Timestamp,Month,Day,Hour,Minute,battery_correction,PV_Gen_corrected
0.0,0.0,13.3711209069743,0.0,0.0,0.0,0.5,0.0,53.92577786978208,35.0,53.92577786978208,0.0,102500.0,90.5,5.22,0.0,0.0,0.0,0.0,975.7407049387756,0.0,975.7407049387756,0.0,975.7407049387756,18367.34693877551,0.0,0.0,0.0,0.0,0.0,51.43119561328567,30.0,16.0,0.0,51.43119561328567,27.0,17.5,0.0,51.43119561328567,32.0,16.5,0.0,51.43119561328567,26.0,17.0,0.0,36.79778422172615,19.59843189020641,0.0,37.83160624729191,19.50711852636685,0.0,36.92683229308676,19.59983810840695,0.0,37.83490832484411,20.02888705484693,0.0,37.38196512762924,19.36692986699468,0.0,37.67562953329139,19.83557872261235,0.0,37.00134616332755,19.54631586356649,0.0,37.77135851947258,19.79242571486976,360.0,2017-01-01 00:00:00,1,1,0,0,0.0,0.0
0.0,0.0,13.83916489155247,0.0,0.0,0.0,0.5,0.0,53.92577786978208,35.0,53.92577786978208,0.0,102500.0,89.25,5.33,0.0,0.0,0.0,0.0,918.3673469387755,0.0,918.3673469387755,0.0,918.3673469387755,11934.33888854709,0.0,0.0,0.0,0.0,0.0,52.32519546898695,30.0,16.0,0.0,52.32519546898695,27.0,17.5,0.0,52.32519546898695,32.0,16.5,0.0,52.32519546898695,26.0,17.0,0.0,36.80795574960155,19.51531303103037,0.0,38.14228767568235,19.30617374766429,0.0,37.01384099329804,19.47604870346643,0.0,38.00832213644472,19.89945023433556,0.0,37.45738167103183,19.25262287110383,0.0,37.92578926456331,19.66644255305192,0.0,37.02828210716311,19.45243573166528,0.0,37.94020044269702,19.65761414873672,540.0,2017-01-01 00:03:00,1,1,0,3,0.0,0.0
0.0,0.0,14.27778281311573,0.0,0.0,0.0,0.5,0.0,53.92577786978208,35.0,53.92577786978208,0.0,102500.0,88.0,5.44,0.0,0.0,0.0,0.0,596.7169444273549,0.0,596.7169444273549,0.0,596.7169444273549,0.0,0.0,0.0,0.0,0.0,0.0,52.51419637532288,30.0,16.0,0.0,52.51419637532288,27.0,17.5,0.0,52.51419637532288,32.0,16.5,0.0,52.51419637532288,26.0,17.0,0.0,36.89045665941448,19.39695094328746,0.0,38.40732678729354,19.12012106939033,0.0,37.08091045080337,19.35959684990725,0.0,38.25485982652872,19.73278509591774,0.0,37.51981736268445,19.14200092086182,0.0,38.15574685209688,19.50025180271918,0.0,37.1274119018902,19.32389161076629,0.0,38.18969928387671,19.48311394519255,720.0,2017-01-01 00:06:00,1,1,0,6,0.0,0.0
0.0,0.0,14.37095949258505,0.0,0.0,0.0,0.5,0.0,53.92577786978208,35.0,53.92577786978208,0.0,102500.0,86.75,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.49873483595561,30.0,16.0,0.0,52.49873483595561,27.0,17.5,0.0,52.49873483595561,32.0,16.5,0.0,52.49873483595561,26.0,17.0,0.0,36.97458273896375,19.27553997456485,0.0,38.63088332146916,18.94717386969905,0.0,37.13232651176829,19.2483458143236,0.0,38.47924656508025,19.56904043244644,0.0,37.57025023476545,19.03452007092823,0.0,38.34280014147811,19.34660679488451,0.0,37.22710428085037,19.19312984413611,0.0,38.42242837818468,19.31050987099054,900.0,2017-01-01 00:09:00,1,1,0,9,0.0,0.0
0.0,0.0,14.36395563780313,0.0,0.0,0.0,0.5,0.0,53.92577786978208,35.0,53.92577786978208,0.0,102500.0,85.5,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.48328080901936,30.0,16.0,0.0,52.48328080901936,27.0,17.5,0.0,52.48328080901936,32.0,16.5,0.0,52.48328080901936,26.0,17.0,0.0,37.03906475600939,19.1606123179233,0.0,38.82089581374769,18.78409502860007,0.0,37.17142718998485,19.1406446244341,0.0,38.65831269028838,19.4178581827674,0.0,37.60851107310268,18.93014454273343,0.0,38.4911463586527,19.20391916195342,0.0,37.30562220924753,19.06980003649203,0.0,38.61260432609795,19.15055828141307,1080.0,2017-01-01 00:12:00,1,1,0,12,0.0,0.0
0.0,0.0,14.35695536030432,0.0,0.0,0.0,0.5,0.0,53.92577786978208,35.0,53.92577786978208,0.0,102500.0,84.25,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.46783429073676,30.0,16.0,0.0,52.46783429073676,27.0,17.5,0.0,52.46783429073676,32.0,16.5,0.0,52.46783429073676,26.0,17.0,0.0,37.08374117154477,19.05208766804533,0.0,38.98247707116439,18.62885650284939,0.0,37.19947471430765,19.03577276175447,0.0,38.79639766932504,19.2776990599687,0.0,37.63420712182214,18.82891887905295,0.0,38.60875878178868,19.06914241589766,0.0,37.36248811263297,18.95390680138947,0.0,38.76301656825301,19.00215965721623,1260.0,2017-01-01 00:15:00,1,1,0,15,0.0,0.0
0.0,0.0,14.3499586581147,0.0,0.0,0.0,0.5,0.0,53.92577786978208,35.0,53.92577786978208,0.0,102500.0,83.0,5.880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.45239527723348,30.0,16.0,0.0,52.45239527723348,27.0,17.5,0.0,52.45239527723348,32.0,16.5,0.0,52.45239527723348,26.0,17.0,0.0,37.11307767090648,18.94781319986155,0.0,39.11808723141824,18.48049876299961,0.0,37.21582320820808,18.93384705178047,0.0,38.90183571752152,19.14553642584167,0.0,37.64662396611288,18.7310122827594,0.0,38.70081946955512,18.94038798395909,0.0,37.40165714560005,18.84348764968328,0.0,38.88131008950323,18.86235099408639,1440.0,2017-01-01 00:18:00,1,1,0,18,0.0,0.0
0.0,0.0,14.34296552921682,0.0,0.0,0.0,0.5,0.0,53.92577786978208,35.0,53.92577786978208,0.0,102500.0,81.75,5.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.43696376470572,30.0,16.0,0.0,52.43696376470572,27.0,17.5,0.0,52.43696376470572,32.0,16.5,0.0,52.43696376470572,26.0,17.0,0.0,37.12875994679577,18.84688394827134,0.0,39.22893944370977,18.33855076317494,0.0,37.21963013853436,18.83507531224347,0.0,38.98012857418789,19.01949606936742,0.0,37.64518409085309,18.63653603770269,0.0,38.76987623038078,18.81679881685996,0.0,37.42608020360587,18.73706203109548,0.0,38.97268626616606,18.72920350777381,1620.0,2017-01-01 00:21:00,1,1,0,21,0.0,0.0
0.0,0.0,14.33597597162542,0.0,0.0,0.0,0.5,0.0,53.92577786978208,35.0,53.92577786978208,0.0,102500.0,80.5,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.42153974940287,30.0,16.0,0.0,52.42153974940287,27.0,17.5,0.0,52.42153974940287,32.0,16.5,0.0,52.42153974940287,26.0,17.0,0.0,37.13088465943585,18.74911923988156,0.0,39.31589416054733,18.20266911493561,0.0,37.21011884416122,18.73964374774027,0.0,39.03405728170753,18.89873253817513,0.0,37.6295042859369,18.5455287394981,0.0,38.81726210528873,18.6979662535237,0.0,37.43666599435178,18.63407439727641,0.0,39.03978219272089,18.60180365772656,1800.0,2017-01-01 00:24:00,1,1,0,24,0.0,0.0
0.0,0.0,14.32898998337976,0.0,0.0,0.0,0.5,0.0,53.92577786978208,35.0,53.92577786978208,0.0,102500.0,79.25,6.210000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.40612322747919,30.0,16.0,0.0,52.40612322747919,27.0,17.5,0.0,52.40612322747919,32.0,16.5,0.0,52.40612322747919,26.0,17.0,0.0,37.11904995247402,18.65457625111245,0.0,39.3797698716434,18.07251580342686,0.0,37.18676784613789,18.64763884777333,0.0,39.06509618789362,18.78285966289791,0.0,37.59933461032421,18.45798002868374,0.0,38.84401364590889,18.58356896569277,0.0,37.43334957866124,18.53441240958744,0.0,39.08394539811116,18.47971697701475,1980.0,2017-01-01 00:27:00,1,1,0,27,0.0,0.0
